sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84
45844,0.12646882577777244,0.05366308676506794,-0.1035855157706303,0.055459284210019166,-0.4396357149549794,-0.05111742378350266,0.039139926106140054,-0.01338610103903703,0.004871256369358301,0.004068348584712409,0.0133145803904292,0.0026476874194690295,-0.009655324234940652,-0.005563984284900161,-0.007270855157780824,-0.0032681037275471155,-0.01307942548175522,0.00536818983940711,-4.7979540589956076e-05,0.005617448559123472,0.0032407736827607028,0.0060653132714329405,0.002348542320700429,0.0003073297285295363,0.006159052551707422,-0.014357809720178541,-0.01065820527076625,-0.0032016158168211416,0.005402742350558687,0.002349195066169246,0.0026445842844382674,0.003313358867766246,-0.007224066810441631,0.008102064281762232,0.004322238457740227,0.00465767448022106,0.0008600020374203398,0.0018416339495309691,-0.000723065837254344,6.329915426149203e-06,-0.0008579692735495778,0.0004120986466559547,0.0005299451892129945,0.000742307489140407,0.0004992360198476014,-0.0004930400204332823,9.602753543300194e-05,-1.0554013829015902e-05,-3.407130111589274e-06,-0.00014745498758620936,-1.1833983892532077e-05,-3.695329336301657e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45845,-0.10510222202030932,-0.510551800959123,0.00706482720029926,-0.006311099162251706,0.03704903299972843,-0.017868848408966468,0.15405565401453822,0.026927599627358415,-0.01979521855804055,0.008664691777691195,-0.007561295644747035,0.0006361984267782456,0.003252364231014636,-0.006429331318582386,0.0016759489074924057,0.063318862485957,0.005197943814025508,0.05322571896964315,-0.006719573711183655,0.00591810570171164,-0.006122483667809031,-0.004402114175464088,0.024576927553005442,0.0010555045266999279,-0.0150550502805322,0.00030143049749343267,0.002481641385895514,0.0032411756761610805,0.014057376521376497,-0.011832708921433233,0.004926504980419326,0.005706303312235907,-0.0010682503614321203,0.0006075885264577732,-0.0010344858159484866,-0.002307343259221251,-0.0005894141159308508,-0.00171819394995866,0.0006744033084589333,8.252657398639523e-05,0.0006880845264908758,-0.0001791764953492722,-0.0003413881675812554,-0.0001966671773501249,-3.8466045021117714e-05,0.0002105342557650061,2.8425221662943375e-05,-8.945316217858144e-05,2.263031712320301e-05,-5.039492458141691e-05,-1.4668662061466903e-06,1.4186428167858876e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45846,-0.032319131636872854,-0.4753689149005188,-0.001295933282881596,-0.00913458917947578,0.004058676609687803,-0.015282863990671022,-0.031525511573929334,-0.00197185899978105,0.006015257885262846,-0.0616813974295129,0.018079897239159707,-0.003859784762136862,0.0005102326140704503,0.0027123028571763765,-0.00037159677895269463,-0.018130164160615227,-0.0026171969825746367,-0.0219409201638543,0.0010218353550197892,-0.0044236112652645335,0.007189597543520348,0.001295222852488624,-0.010833643481392144,-0.0032416584278901054,0.03249719295439239,0.012003277512749757,0.0035714115107760183,0.0016605828139459637,0.0022332635191529182,0.0002216413964786829,-0.0018678457075932877,0.005911204232998468,0.00016647276445183067,0.0024741641025550674,-0.002426676066258488,-0.0010255034407119091,-9.854924503545404e-05,-0.0013364936362731399,0.0008623940186298839,9.138507513412968e-05,0.0011637945608406542,-0.0011122864689495065,-0.0004300932263628077,-1.4558916799562887e-05,0.0004309060083376947,-7.647732758465154e-05,9.457346925199512e-05,-0.00014826146720602434,1.9243904128370338e-05,1.7609984711772626e-05,2.749806746763846e-05,2.1594779641013055e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45847,-0.037042336632498486,-0.477754959013859,-0.0009042219127110146,-0.00959521596504661,0.004161389030974251,-0.016077131062010912,-0.045555406575741995,-0.010049592936896409,0.0044691439760616075,-0.07816303413437999,0.023414158234191608,-0.006391727185192806,0.0012090163156402236,0.0037780477101375747,-0.00010426556343467017,-0.0010238547446206419,-0.0010835210639993178,-0.008956991779957258,-0.0034676716581736955,0.002248469000952141,-0.0053164806000144515,0.0003860991553115199,-0.006010171286081374,-0.00041060892849457926,-0.013468948168555619,-0.0054175607403578315,0.0032827379138920952,0.0005120950104004448,0.00029790002684294576,0.0047900116430674025,-0.01253960621119902,0.015610740875081948,0.003142230036161556,0.007176496269666457,-0.005838288992522658,-0.0013469763806831583,0.00017442890788546743,-0.00163849524309118,0.0023407336564981677,-0.0004328553972381515,0.0022238876771811652,-0.002233722862557408,-0.0004276637876828399,-0.00022785864750402148,0.00027977661291630134,-5.3485576532990965e-05,3.887667431275942e-05,-5.9221404411810525e-05,3.171361822065142e-05,-0.0004442448661179331,-0.00023476146798439247,9.73653906938645e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45848,0.14859024336563403,0.07167512958770085,-0.09351699061489264,0.05204020952100814,-0.41120896129829626,-0.02831756057962864,0.045886230472686806,-0.013862745209521238,0.006247027530617088,0.0073403545080514485,0.02029173461481388,-0.0207118880710925,-0.007976601070086776,0.025270187710123952,0.01668805519717896,0.009180494498374115,0.029708285308145562,-0.00589715266835614,-0.005675990384997257,-0.008157043832559854,-0.005596409161440578,-0.005028608926736905,-0.006152148059223189,-0.016092866800712164,-0.011453362600245634,0.02401663486318551,0.0009202506918936142,0.00410543224890073,-0.0004911238846136538,-0.000548492809492082,-0.000970433017823877,-0.0006582038947819508,-0.0001447430553894206,-0.0009770442434315558,-0.0018174980466964539,0.0012231473318727638,-0.00030893956747269914,0.0002859879772390733,0.0008329276349286892,-0.0002367408903989645,0.000630294593581848,-0.00011202651326664658,-0.000248164520627495,-0.0005002661338006916,-0.0003571933034052637,0.00024122841947850184,-4.6177118631740846e-05,9.770940981492744e-06,5.630466900688021e-06,1.4580652265988601e-05,7.378160513508187e-06,3.1028841554087785e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45849,-0.025398458027472384,-0.4678058924197007,-0.0019547700917228327,-0.007918271019511272,0.0007244576146757942,-0.012819456397127208,-0.050164637484377994,-0.012927464202041994,0.0033091668815570024,-0.07497820962667044,0.020542011697487036,-0.004582860910502667,0.0027895249359880083,0.0016664366664133293,-0.00028580352648668894,0.000689031600782535,-0.0011450952362626206,-0.003248511826190489,-0.0033472290723302696,0.007562273156950659,-0.015748033167282585,-0.0029963856632192767,0.009030817488920522,0.0020524011606306257,-0.006654103904652802,-0.002813074576306645,-0.006139321893681004,-0.002477945980247041,-0.007810185676137886,0.005195146918390938,-0.0014087611582973918,0.001148933366874732,0.0018265678452057273,-0.007478087832239121,0.006240630813058197,0.004798166969735055,0.0004096334038597324,0.0024767844371552925,-0.0005148164636583365,-0.0004702309333456328,0.0010072803884815036,-0.0014934373204720391,-0.0002442817068961346,1.6870370964750237e-05,0.0008798524820488739,-0.0004750406525992021,5.971562779105946e-05,5.655482231622184e-05,-6.41637603206505e-05,0.0013093687991265802,0.0008526073347109733,-0.00037004283956963355,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45850,-0.034966851425131104,-0.4786849165012798,-0.0011053049074870513,-0.009546744627062976,0.0040384539567335734,-0.01648407851936794,-0.04559082633860412,-0.009433229941760143,0.004301975605767925,-0.04872636034495287,0.01561400308152651,-0.003370474410354069,-0.0026421878777986648,0.0014327525352688163,0.0005877392443940984,-0.010823553092806595,-8.898298931811938e-05,-0.02172605514656854,-0.004791418001891066,0.0023342417169821433,-0.010945426108581513,0.0026747454480196484,-0.02605531705563181,0.000935356008181934,0.004931149268188005,-0.001340569494697457,-0.0019389274957110458,-0.001095995602689138,0.0002230165984804537,-0.002945792525412584,0.004985581067633299,-0.009876034730632869,-0.0006833757714824626,-0.0006288558784601615,0.00062598272541048,-0.0005041722940732454,-0.0002434265642483002,0.00034759784972844836,-0.000868159252575401,-0.00015601436799816504,-0.0027569757015422753,0.004746252176844353,0.0012754539915911316,-0.0003951683075571726,-0.003279219639419148,0.0013937936932375504,-2.8065514345510273e-06,-0.000257972674533026,6.235297713544955e-05,0.0001350192644107345,0.0002193325263037795,-0.00010601543737322144,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45851,-0.014375883332005346,-0.4511531785968709,-0.002966338971359754,-0.005780037011695225,-0.0038437145301577426,-0.008608022133389999,-0.05582059895652648,-0.015020601602710914,0.003979309449674764,-0.11000568581302428,0.027560125880862946,-0.006035080076780352,0.009836967650447509,0.003075570083132264,-0.0018301170343731875,-0.012248876555423945,-0.0037312845049943238,-0.004332400454946711,0.009178637809933058,-0.009559905946207519,0.024752593167843888,0.003054242979475448,0.028431834440755532,0.00018347596127766142,0.019242539311732677,0.013875413751873877,0.006036266905270501,0.002874035373794028,0.008892266144468336,-0.0038731647727741686,-0.004239625770464282,0.013720512101559054,0.0005388325127404962,-0.003103438670223613,0.002734546807868339,0.00043044213513845507,-0.00032250286159635455,0.0005902334240698647,-0.0010661852572092755,1.7762793932349375e-05,-0.0014315518177154493,0.0018779812916523838,0.0005318435613941698,1.8828031047906328e-05,-0.0008761327563605547,0.0002952408485748931,-3.264975955332369e-05,1.8991822876420448e-06,-5.237452854242496e-08,4.941677086563844e-05,3.216920643020901e-05,-1.900486808544472e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45852,-0.02705812445215511,-0.4215139544945278,0.001432217846728415,-0.010012090093571775,-0.01632210193833238,0.015275363890382764,-0.19066973896718822,-0.08783382322127053,-0.02080954755284618,0.1541374174983327,-0.02964002657711499,-0.002595038823872113,0.009002785093426228,0.011915656589853647,-0.004066720732429209,0.05388835426092551,-0.036455300783555175,-0.03038112522898639,-0.002724537296402913,-0.003929581404587373,-0.0012441894950075858,0.013539388349774526,-0.0018178528602848351,0.002555579437029792,-0.001655019991981852,-0.0007047871381310384,0.00412801526160839,0.004262033128004842,-0.0017797695034914305,0.0028012487178719664,0.0035444228719451504,0.001922693981394246,-0.002147348678888542,-0.000660580301266907,-0.0002638794915782518,-0.0003113619882900004,-0.0004641367094420509,-0.0007133534265594834,-0.000313107720091241,-5.105132734520183e-05,0.0006538393095389895,-0.0003917726299886314,9.907711895070875e-05,8.268617615127152e-05,-0.0003320267876031293,4.603261379613161e-05,0.00015307147235101492,-0.0002653727105054635,3.492597643939153e-05,-2.7374968406873093e-05,2.4844541938696862e-05,-7.197349720190657e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45853,-0.03081032803745203,-0.42337938256109947,-0.0015034798786832866,-0.00493441247309832,-0.015116881453309331,0.004792142842026943,-0.1951423088981019,-0.09297965835232068,-0.012934138718258444,0.14558743302951938,-0.036052466613024296,0.012359756806339457,-0.02706767412751597,-0.011834771572465513,0.005404116441354134,-0.012955999469463696,0.02783755640075048,0.0336092544331765,-0.003951157491107874,0.005899084028444348,-0.009490176227287562,-0.0070901022397295435,-0.026157241265293264,-0.000959672210398237,-0.007056983896606297,-0.007875008755406039,-0.0002618917496743562,-0.003183509899731921,0.0023136148998279707,-0.001737475597933728,-0.0068175669409395335,0.006373895367094829,0.0028247870375108287,0.0012028474127380767,-0.00037853708979889133,-0.00022627594855082348,0.000300114076754399,0.00011401104380512715,0.00039239030378666314,0.00011235158353881453,-0.0006040523542533321,0.0005579245075009664,-0.00011276541592275813,-0.00011516739228214144,0.00016816221555707799,4.0708066374788455e-05,-0.00011506320088692506,0.00018609340701692894,-2.1950471293727584e-05,4.75738189652288e-07,-2.7537093947105965e-05,1.2014180671296853e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
